#options: 1280x720 fps=19/1 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0x111 me=hex subme=5 brdo=0 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 chroma_qp_offset=0 threads=1 nr=0 decimate=1 mbaff=0 bframes=0 keyint=250 keyint_min=25 scenecut=40 rc=abr bitrate=10000 ratetol=1.0 rceq='blurCplx^(1-qComp)' qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40
in:132 out:132 type:P q:10.00 itex:2938 ptex:1038 mv:1143 misc:497 imb:29 pmb:52 smb:3519 d:-;
in:133 out:133 type:P q:10.00 itex:2337 ptex:810 mv:897 misc:484 imb:21 pmb:51 smb:3528 d:-;
in:134 out:134 type:P q:10.00 itex:2136 ptex:3089 mv:962 misc:517 imb:21 pmb:60 smb:3519 d:-;
in:135 out:135 type:P q:10.00 itex:2621 ptex:981 mv:984 misc:534 imb:29 pmb:47 smb:3524 d:-;
in:136 out:136 type:P q:10.00 itex:1753 ptex:988 mv:1101 misc:486 imb:21 pmb:51 smb:3528 d:-;
in:137 out:137 type:P q:10.00 itex:2180 ptex:833 mv:910 misc:501 imb:22 pmb:52 smb:3526 d:-;
in:138 out:138 type:P q:10.00 itex:2095 ptex:1232 mv:1097 misc:512 imb:35 pmb:44 smb:3521 d:-;
in:139 out:139 type:P q:10.00 itex:1359 ptex:1314 mv:886 misc:521 imb:24 pmb:60 smb:3516 d:-;
in:140 out:140 type:P q:10.00 itex:1263 ptex:1179 mv:727 misc:487 imb:19 pmb:52 smb:3529 d:-;
in:141 out:141 type:P q:10.00 itex:1727 ptex:842 mv:803 misc:508 imb:33 pmb:37 smb:3530 d:-;
in:142 out:142 type:P q:10.00 itex:1205 ptex:1154 mv:655 misc:482 imb:22 pmb:49 smb:3529 d:-;
in:143 out:143 type:P q:10.00 itex:1307 ptex:929 mv:482 misc:474 imb:17 pmb:38 smb:3545 d:-;
in:144 out:144 type:P q:10.00 itex:1258 ptex:2269 mv:593 misc:456 imb:20 pmb:30 smb:3550 d:-;
in:145 out:145 type:P q:10.00 itex:1832 ptex:319 mv:501 misc:436 imb:17 pmb:21 smb:3562 d:-;
